NAME,P9_001N,P9_002N,HISPANIC_PCT
"University of California-Santa Barbara CDP, California",9710,1857,19.12
"Upland city, California",79040,35190,44.52
"Upper Lake CDP, California",1095,340,31.05
"Vacaville city, California",102386,27402,26.76
"Valinda CDP, California",22437,16847,75.09
"Vallecito CDP, California",442,31,7.01
"Vallejo city, California",126090,35835,28.42
"Valle Vista CDP, California",16194,6905,42.64
"Valley Acres CDP, California",504,156,30.95
"Valley Center CDP, California",10087,3353,33.24
"Valley Ford CDP, California",148,38,25.68
"Valley Home CDP, California",284,50,17.61
"Valley Ranch CDP, California",128,0,0.0
"Valley Springs CDP, California",3779,690,18.26
"Valley Wells CDP, California",0,0,N/A
"Val Verde CDP, California",2399,1549,64.57
"Vandenberg AFB CDP, California",3559,800,22.48
"Vandenberg Village CDP, California",7308,1915,26.2
"Verdi CDP, California",179,8,4.47
"Vernon city, California",222,168,75.68
"Victor CDP, California",313,185,59.11
"Victorville city, California",134810,74745,55.44
"View Park-Windsor Hills CDP, California",11419,1098,9.62
"Villa Park city, California",5843,724,12.39
"Vina CDP, California",198,68,34.34
"Vincent CDP, California",15714,11853,75.43
"Vine Hill CDP, California",4323,1335,30.88
"Vineyard CDP, California",43935,8426,19.18
"Virginia Lakes CDP, California",7,4,57.14
"Visalia city, California",141384,74575,52.75
"Vista city, California",98381,49744,50.56
"Vista Santa Rosa CDP, California",2607,2216,85.0
"Volcano CDP, California",104,10,9.62
"Volta CDP, California",366,252,68.85
"Walker CDP, California",704,97,13.78
"Wallace CDP, California",479,60,12.53
"Walnut city, California",28430,5324,18.73
"Walnut Creek city, California",70127,7304,10.42
"Walnut Grove CDP, California",1452,660,45.45
"Walnut Park CDP, California",15214,14817,97.39
"Warm Springs CDP, California",1586,923,58.2
"Warner Valley CDP, California",8,0,0.0
"Wasco city, California",27047,22922,84.75
"Washington CDP, California",101,0,0.0
"Waterford city, California",9120,4391,48.15
"Waterloo CDP, California",534,193,36.14
"Watsonville city, California",52590,43303,82.34
"Waukena CDP, California",80,48,60.0
"Wautec CDP, California",48,1,2.08
"Wawona CDP, California",111,7,6.31
"Weaverville CDP, California",3667,262,7.14
"Weed city, California",2862,550,19.22
"Weedpatch CDP, California",2206,2087,94.61
"Weitchpec CDP, California",112,2,1.79
"Weldon CDP, California",2303,257,11.16
"Weott CDP, California",219,27,12.33
"West Athens CDP, California",9393,4221,44.94
"West Bishop CDP, California",2754,302,10.97
"West Carson CDP, California",22870,7783,34.03
"West Covina city, California",109501,58102,53.06
"West Goshen CDP, California",536,416,77.61
"Westhaven-Moonstone CDP, California",1187,106,8.93
"West Hollywood city, California",35757,4497,12.58
"Westlake Village city, California",8029,651,8.11
"Westley CDP, California",575,542,94.26
"West Menlo Park CDP, California",3930,291,7.4
"Westminster city, California",90911,22345,24.58
"West Modesto CDP, California",5965,4223,70.8
"Westmont CDP, California",33913,18395,54.24
"Westmorland city, California",2014,1786,88.68
"West Park CDP, California",1053,804,76.35
"West Point CDP, California",688,81,11.77
"West Puente Valley CDP, California",22959,18298,79.7
"West Rancho Dominguez CDP, California",24347,13208,54.25
"West Sacramento city, California",53915,17260,32.01
"Westside CDP, California",143,137,95.8
"West Whittier-Los Nietos CDP, California",25325,22370,88.33
"Westwood CDP, California",1541,172,11.16
"Wheatland city, California",3712,835,22.49
"Whitehawk CDP, California",144,1,0.69
"Whitewater CDP, California",984,540,54.88
"Whitley Gardens CDP, California",325,86,26.46
"Whitmore CDP, California",311,22,7.07
"Whittier city, California",87306,61803,70.79
"Wildomar city, California",36875,15075,40.88
"Wilkerson CDP, California",543,84,15.47
"Williams city, California",5538,4467,80.66
"Williams Canyon CDP, California",93,20,21.51
"Willits city, California",4988,1218,24.42
"Willowbrook CDP, California",24295,19173,78.92
"Willow Creek CDP, California",1720,147,8.55
"Willows city, California",6293,2330,37.03
"Wilsonia CDP, California",14,0,0.0
"Wilton CDP, California",5958,1171,19.65
"Winchester CDP, California",3068,1714,55.87
"Windsor town, California",26344,8898,33.78
"Winter Gardens CDP, California",22380,5990,26.76
"Winterhaven CDP, California",390,294,75.38
"Winters city, California",7115,3935,55.31
"Winton CDP, California",11709,9294,79.37
"Wofford Heights CDP, California",2213,197,8.9
"Woodacre CDP, California",1410,97,6.88
"Woodbridge CDP, California",4031,1290,32.0
"Woodcrest CDP, California",15378,5680,36.94
"Woodlake city, California",7419,6535,88.08
"Woodland city, California",61032,29614,48.52
"Woodlands CDP, California",1933,95,4.91
"Woodside town, California",5309,404,7.61
"Woodville CDP, California",1680,1522,90.6
"Woodville Farm Labor Camp CDP, California",729,724,99.31
"Woody CDP, California",108,13,12.04
"Wrightwood CDP, California",4720,839,17.78
"Yankee Hill CDP, California",260,32,12.31
"Yermo CDP, California",623,183,29.37
"Yettem CDP, California",201,189,94.03
"Yolo CDP, California",425,302,71.06
"Yorba Linda city, California",68336,12269,17.95
"Yosemite Lakes CDP, California",5022,750,14.93
"Yosemite Valley CDP, California",337,43,12.76
"Yosemite West CDP, California",47,15,31.91
"Yountville city, California",3436,348,10.13
"Yreka city, California",7807,958,12.27
"Yuba City city, California",70117,21701,30.95
"Yucaipa city, California",54542,18784,34.44
"Yucca Valley town, California",21738,5074,23.34
"Zayante CDP, California",729,83,11.39
